"Word","Length","Freq_HAL","Log_Freq_HAL"
"bank","4","39506","10.58"
"arts","4","22653","10.03"
"arty","4","453","6.12"
"ashy","4","17","2.83"
"Asia","4","13885","9.54"
"asks","4","16409","9.71"
"atom","4","3410","8.13"
"atop","4","1135","7.03"
"aunt","4","2845","7.95"
"aura","4","4923","8.50"
"apex","4","1099","7.00"
"apse","4","13","2.56"
"Arab","4","7193","8.88"
"arch","4","3721","8.22"
"arcs","4","734","6.60"
"area","4","160430","11.99"
"Ares","4","502","6.22"
"aria","4","1039","6.95"
"arid","4","332","5.81"
"arms","4","32708","10.40"
"army","4","34024","10.43"
"amid","4","963","6.87"
"ammo","4","5933","8.69"
"amok","4","547","6.30"
"anal","4","4820","8.48"
"Andy","4","20181","9.91"
"anew","4","657","6.49"
"Anna","4","4330","8.37"
"Anne","4","10129","9.22"
"anon","4","18879","9.85"
"ante","4","2748","7.92"
"ants","4","4321","8.37"
"anus","4","2067","7.63"
"ahem","4","1977","7.59"
"ahoy","4","192","5.26"
"aide","4","1575","7.36"
"aids","4","22058","10.00"
"aims","4","2831","7.95"
"airs","4","1597","7.38"
"airy","4","362","5.89"
"ajar","4","149","5.00"
"akin","4","2436","7.80"
"Alan","4","33178","10.41"
"alas","4","4353","8.38"
"Alex","4","18548","9.83"
"alga","4","66","4.19"
"ally","4","2857","7.96"
"alms","4","134","4.90"
"aloe","4","304","5.72"
"Alps","4","805","6.69"
"Al's","4","941","6.85"
"also","4","782967","13.57"
"alto","4","5834","8.67"
"alum","4","506","6.23"
"Amen","4","2688","7.90"
"adds","4","11870","9.38"
"afar","4","446","6.10"
"afro","4","293","5.68"
"agar","4","804","6.69"
"aged","4","3437","8.14"
"ages","4","17369","9.76"

